State,District,Latitude,Longitude,Population,Male,Female,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Rural_Households,Urban_Households,sex_ratio,literacy_rate,male_literacy,female_literacy
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,2741239,1369597,1371642,2399901,275970,15422,1377,25510,617,322,597466,220248,1001.0,54.0,63.0,46.0
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,4081148,2064495,2016653,3599372,443456,20463,932,341,1417,309,902997,341431,977.0,57.0,65.0,48.0
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,4174064,2090204,2083860,3737588,397870,24129,867,253,1322,358,907970,395900,997.0,64.0,71.0,57.0
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,5154296,2569688,2584608,4983330,77777,77825,738,413,4149,403,1199479,406362,1006.0,64.0,67.0,61.0
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,4887813,2440521,2447292,4217597,559770,89763,764,323,3282,332,1069877,513113,1003.0,61.0,67.0,54.0
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,3943323,2018575,1924748,2046051,1713405,87522,11446,1268,19560,1929,0,1066289,954.0,73.0,76.0,70.0
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,3776269,1880800,1895469,3491139,244723,24979,2086,332,312,115,877236,288044,1008.0,58.0,67.0,50.0
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,2797370,1390988,1406382,2595321,158887,33463,655,217,459,539,669262,201363,1011.0,58.0,65.0,52.0
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,4517398,2267375,2250023,4023678,307043,145598,1393,863,6320,906,909292,567042,992.0,67.0,71.0,63.0
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,4053463,2039227,2014236,3328380,670737,33165,737,255,2235,434,783853,306982,988.0,52.0,61.0,44.0
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,4053028,2050386,2002642,3673456,334172,21345,658,290,388,267,848963,161052,977.0,48.0,56.0,39.0
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,3033288,1523030,1510258,2637313,342449,34301,1309,554,457,217,593653,195479,992.0,54.0,63.0,45.0
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,3488809,1759772,1729037,3249231,188646,35025,937,241,250,132,833504,197433,983.0,57.0,66.0,49.0
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,2551335,1250641,1300694,2123426,391596,19653,2357,1847,542,146,565165,155133,1040.0,54.0,63.0,46.0
Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,3397448,1714764,1682684,3150195,220654,18775,266,97,204,206,873486,214089,981.0,56.0,65.0,47.0
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,2703114,1341738,1361376,2666950,9025,18879,193,77,160,106,752752,149684,1015.0,55.0,64.0,47.0
Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,2344474,1161477,1182997,2299129,16423,17853,380,114,815,183,592458,157056,1019.0,53.0,61.0,45.0
